product_name,Pai - Bazar,Pai - Bebidas Alcoólicas,Pai - Bebidas Não Alcoólicas,Pai - HPC,Pai - Limpeza / Descartáveis,Pai - Mercearia Básica,Pai - Perecíveis,Pai - Têxtil,Pai- Mercearia Complementar,Pai-Hortifruti
Adoçante Líquido Sucralose Linea Caixa 25ml,0,0,0,0,0,0,0,0,3,0
Adoçante Líquido Sucralose Linea Caixa 75ml,0,0,0,0,0,0,0,0,3,0
Adoçante Líquido Sucralose Lowçucar Blenda Frasco 80ml,0,0,0,0,0,0,0,0,18,0
Adoçante em Pó Diet  Sucralose Zero Cal 40g contém 50 Unidades,0,0,0,0,0,0,0,0,2,0
Adoçante em Pó Diet Aspartame Zero Cal 40g com 50 Unidades,0,0,0,0,0,0,0,0,2,0
Adoçante em Pó Sucralose Linea Caixa 56g Leve 70 Pague 50 Unidades,0,0,0,0,0,0,0,0,5,0
Adoçante em Pó com Sacarose Light Magro Pacote 500g,0,0,0,0,0,0,0,0,43,0
Aguardente de Cana Adoçada Pitú Garrafa 965ml,0,6,0,0,0,0,0,0,0,0
Alcaparra em Conserva Vale Fértil Vidro 60g,0,0,0,0,0,0,0,0,3,0
Alimento para Cães Adultos 7+ Carne ao Molho Pedigree Vital Pro Sachê 100g,3,0,0,0,0,0,0,0,0,0
Alimento para Cães Adultos Carne ao Molho Pedigree Vital Pro Lata 290g,9,0,0,0,0,0,0,0,0,0
Alimento para Cães Adultos Carne e Vegetais Pedigree Vital Pro Pacote 1kg,11,0,0,0,0,0,0,0,0,0
"Alimento para Cães Adultos Carne, Frango e Cereais Pedigree Vital Pro Pacote 1kg",9,0,0,0,0,0,0,0,0,0
Alimento para Cães Adultos Frango ao Molho Pedigree Vital Pro Lata 290g,9,0,0,0,0,0,0,0,0,0
Alimento para Cães Adultos Frango ao Molho Pedigree Vital Pro Sachê 100g,24,0,0,0,0,0,0,0,0,0
"Alimento para Cães Adultos Pedigree Nutrição Essencial Pacote 10,1kg",3,0,0,0,0,0,0,0,0,0
Alimento para Cães Adultos Raças Médias e Grandes Carne Pedigree Equilíbrio Natural Pacote 1kg,11,0,0,0,0,0,0,0,0,0
Alimento para Cães Adultos Raças Pequenas Carne Pedigree Equilíbrio Natural Pacote 1kg,11,0,0,0,0,0,0,0,0,0
Alimento para Cães Adultos Raças Pequenas Carne ao Molho Pedigree Vital Pro Sachê 100g,39,0,0,0,0,0,0,0,0,0
Alimento para Cães Adultos Raças Pequenas Cordeiro ao Molho Pedigree Vital Pro Sachê 100g,24,0,0,0,0,0,0,0,0,0
Alimento para Cães Adultos Raças Pequenas Pedigree Vital Pro Pacote 1kg,11,0,0,0,0,0,0,0,0,0
Alimento para Cães Filhotes Carne Pedigree Equilíbrio Natural Pacote 1kg,11,0,0,0,0,0,0,0,0,0
Alimento para Cães Filhotes Frango ao Molho Pedigree Vital Pro Sachê 100g,13,0,0,0,0,0,0,0,0,0
"Alimento para Cães Filhotes Raças Médias e Grandes Pedigree Vital Pro Pacote 10,1kg",5,0,0,0,0,0,0,0,0,0
Alimento para Cães Filhotes Raças Médias e Grandes Pedigree Vital Pro Pacote 1kg,5,0,0,0,0,0,0,0,0,0
Alimento para Cães Filhotes Raças Pequenas Pedigree Vital Pro Pacote 900g,1,0,0,0,0,0,0,0,0,0
Alimento para Gatos Adultos 1+ Carne Whiskas Pacote 1kg,9,0,0,0,0,0,0,0,0,0
Alimento para Gatos Adultos 1+ Carne Whiskas Pacote 500g,6,0,0,0,0,0,0,0,0,0
Alimento para Gatos Adultos 1+ Frango e Leite Whiskas Pacote 1kg,9,0,0,0,0,0,0,0,0,0
Alimento para Gatos Adultos 1+ Peixe Whiskas Pacote 1kg,9,0,0,0,0,0,0,0,0,0
Alimento para Gatos Adultos 1+ Peixe Whiskas Pacote 3kg,9,0,0,0,0,0,0,0,0,0
Alimento para Gatos Adultos 1+ Peixe Whiskas Pacote 500g,6,0,0,0,0,0,0,0,0,0
Alimento para Gatos Adultos 1+ Peixe e Frutos do Mar Whiskas Pacote 1kg,9,0,0,0,0,0,0,0,0,0
Alimento para Gatos Castrados Adultos 1+ Carne Whiskas Pacote 1kg,2,0,0,0,0,0,0,0,0,0
Alimento para Gatos Filhotes Carne e Leite Whiskas Pacote 1kg,9,0,0,0,0,0,0,0,0,0
Alimento para Gatos Filhotes Carne e Leite Whiskas Pacote 500g,1,0,0,0,0,0,0,0,0,0
Alvejante 4 em 1 Lavanda com Cloro Candura Frasco 1l,0,0,0,0,6,0,0,0,0,0
"Alvejante Branqueador sem Cloro Vanish White Frasco 1,5l",0,0,0,0,5,0,0,0,0,0
Alvejante Branqueador sem Cloro Vanish White Frasco 500ml,0,0,0,0,11,0,0,0,0,0
Alvejante Branqueador sem Cloro Vanish White Sachê 500ml Refil,0,0,0,0,56,0,0,0,0,0
"Alvejante Multiuso sem Cloro Vanish Frasco 1,5l",0,0,0,0,3,0,0,0,0,0
Alvejante Multiuso sem Cloro Vanish Frasco 500ml,0,0,0,0,9,0,0,0,0,0
Alvejante Multiuso sem Cloro Vanish Sachê 500ml Refil,0,0,0,0,103,0,0,0,0,0
Amaciante de Roupa Concentrado Adorable Downy Perfume Collections Frasco 1l,0,0,0,0,20,0,0,0,0,0
Amaciante de Roupa Concentrado Adorable Downy Perfume Collections Frasco 500ml,0,0,0,0,14,0,0,0,0,0
Amaciante de Roupa Concentrado Blue Ypê Frasco 500ml,0,0,0,0,60,0,0,0,0,0
Amaciante de Roupa Concentrado Brisa de Verão Downy Frasco 1l,0,0,0,0,257,0,0,0,0,0
Amaciante de Roupa Concentrado Brisa de Verão Downy Frasco 500ml,0,0,0,0,82,0,0,0,0,0
Amaciante de Roupa Concentrado Coco e Menta Downy Naturals Frasco 450ml,0,0,0,0,4,0,0,0,0,0
Amaciante de Roupa Concentrado Coco e Menta Downy Naturals Frasco 900ml,0,0,0,0,3,0,0,0,0,0
Amaciante de Roupa Concentrado Elegance Downy Perfume Collections Frasco 500ml,0,0,0,0,14,0,0,0,0,0
Amaciante de Roupa Concentrado Flor de Romã e Baunilha Downy Naturals Frasco 450ml,0,0,0,0,4,0,0,0,0,0
Amaciante de Roupa Concentrado Flor de Romã e Baunilha Downy Naturals Frasco 900ml,0,0,0,0,3,0,0,0,0,0
Amaciante de Roupa Concentrado Frescor da Primavera Downy Frasco 500ml,0,0,0,0,82,0,0,0,0,0
Amaciante de Roupa Concentrado Inspiração Ypê Alquimia Frasco 500ml,0,0,0,0,60,0,0,0,0,0
Amaciante de Roupa Concentrado Intensivo Cuidado Essencial Comfort Intense Frasco 500ml,0,0,0,0,100,0,0,0,0,0
Amaciante de Roupa Concentrado Liberdade Ypê Alquimia Frasco 500ml,0,0,0,0,60,0,0,0,0,0
"Amaciante de Roupa Concentrado Lírios do Campo Downy Frasco 1,5l",0,0,0,0,25,0,0,0,0,0
Amaciante de Roupa Concentrado Lírios do Campo Downy Frasco 1l,0,0,0,0,257,0,0,0,0,0
Amaciante de Roupa Concentrado Lírios do Campo Downy Frasco 500ml,0,0,0,0,82,0,0,0,0,0
Amaciante de Roupa Concentrado Passion Downy Perfume Collections Frasco 1l,0,0,0,0,20,0,0,0,0,0
Amaciante de Roupa Concentrado Passion Downy Perfume Collections Frasco 500ml,0,0,0,0,14,0,0,0,0,0
Amaciante de Roupa Concentrado Pink Ypê Frasco 500ml,0,0,0,0,60,0,0,0,0,0
Amaciante de Roupa Concentrado Puro Cuidado Comfort Intense Frasco 500ml,0,0,0,0,100,0,0,0,0,0
Amaciante de Roupa Concentrado Puro Cuidado Comfort Intense Sachê 900ml Refil,0,0,0,0,17,0,0,0,0,0
Amaciante de Roupa Concentrado Suave e Gentil Downy Frasco 1l,0,0,0,0,20,0,0,0,0,0
Amaciante de Roupa Concentrado Suave e Gentil Downy Frasco 500ml,0,0,0,0,82,0,0,0,0,0
Amaciante de Roupa Diluído Classic Comfort Frasco 2l,0,0,0,0,70,0,0,0,0,0
Amaciante de Roupa Diluído Puro Cuidado Comfort Frasco 2l,0,0,0,0,70,0,0,0,0,0
Amendoim Crocante Cebola e salsa Dori Pettiz Pacote 150g,0,0,0,0,0,0,0,0,21,0
Amendoim Crocante Natural Dori Pettiz Pacote 150g,0,0,0,0,0,0,0,0,21,0
Amendoim Crocante Pimenta-Vermelha Dori Pettiz Pacote 150g,0,0,0,0,0,0,0,0,21,0
Amendoim Japonês Dori Pacote 200g,0,0,0,0,0,0,0,0,20,0
Amendoim Japonês Dori Pacote 500g,0,0,0,0,0,0,0,0,62,0
Amendoim Japonês Elma Chips Pacote 145g,0,0,0,0,0,0,0,0,1,0
Amido de Milho Maizena Duryea Caixa 200g,0,0,0,0,0,0,0,0,110,0
Amido de Milho Maizena Duryea Caixa 500g,0,0,0,0,0,0,0,0,33,0
Ampola de Tratamento Pantene 3 Minutos Milagrosos Hidro-Cauterização Caixa 3 Unidades 15ml Cada,0,0,0,7,0,0,0,0,0,0
Ampola de Tratamento Pantene Cachos Hidra-Vitaminados Caixa 3 Unidades 15ml Cada,0,0,0,7,0,0,0,0,0,0
Ampola de Tratamento Pantene Restauração Caixa 15ml,0,0,0,2,0,0,0,0,0,0
Ampola de Tratamento Pantene Restauração Caixa 3 Unidades 15ml Cada,0,0,0,7,0,0,0,0,0,0
Antitranspirante Aerossol Active Dry Rexona Men Motionsense 150ml,0,0,0,166,0,0,0,0,0,0
Antitranspirante Aerossol Active Emotion Rexona Motionsense 150ml,0,0,0,124,0,0,0,0,0,0
Antitranspirante Aerossol Antibac Dove Men+Care 150ml,0,0,0,23,0,0,0,0,0,0
Antitranspirante Aerossol Antibacterial Protection Rexona Men Motionsense 150ml,0,0,0,166,0,0,0,0,0,0
Antitranspirante Aerossol Antibacteriano Nivea Men Silver Protect 150ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Aerossol Classic Rexona Clinical 150ml,0,0,0,22,0,0,0,0,0,0
Antitranspirante Aerossol Clean Rexona Clinical Men 150ml,0,0,0,22,0,0,0,0,0,0
Antitranspirante Aerossol Cotton Dry Rexona Motionsense 150ml,0,0,0,124,0,0,0,0,0,0
Antitranspirante Aerossol Cuidado Total Dove Men+Care 150ml,0,0,0,23,0,0,0,0,0,0
Antitranspirante Aerossol Dermo Clareador Nivea 150ml,0,0,0,113,0,0,0,0,0,0
Antitranspirante Aerossol Erva-Doce Rexona Motionsense 150ml,0,0,0,124,0,0,0,0,0,0
Antitranspirante Aerossol Extra Dry Rexona Clinical 150ml,0,0,0,22,0,0,0,0,0,0
Antitranspirante Aerossol Go Fresh Pepino e Chá Verde Dove 150ml,0,0,0,77,0,0,0,0,0,0
Antitranspirante Aerossol Invisible Dry Dove 150ml,0,0,0,77,0,0,0,0,0,0
Antitranspirante Aerossol Invisible Dry Dove Men+Care 150ml,0,0,0,23,0,0,0,0,0,0
Antitranspirante Aerossol Invisible Rexona Men Motionsense 150ml,0,0,0,166,0,0,0,0,0,0
Antitranspirante Aerossol Minerais e Sálvia Dove Men+Care Elements 150ml,0,0,0,23,0,0,0,0,0,0
Antitranspirante Aerossol Nivea Active Dry Fresh 150ml,0,0,0,113,0,0,0,0,0,0
Antitranspirante Aerossol Nivea Dry Comfort Plus 150ml,0,0,0,113,0,0,0,0,0,0
Antitranspirante Aerossol Nivea Invisible for Black & White Clear 150ml,0,0,0,113,0,0,0,0,0,0
Antitranspirante Aerossol Nivea Men Active Dry Fresh 150ml,0,0,0,9,0,0,0,0,0,0
Antitranspirante Aerossol Nivea Men Cool Kick 150ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Aerossol Nivea Men Dry Impact Plus 150ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Aerossol Nivea Men Fresh Active 150ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Aerossol Nivea Men Invisible for Black & White 150ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Aerossol Nivea Men Original Protect 150ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Aerossol Nivea Men Stress Protect 150ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Aerossol Nivea Pearl & Beauty 150ml,0,0,0,113,0,0,0,0,0,0
Antitranspirante Aerossol Original Dove 150ml,0,0,0,77,0,0,0,0,0,0
Antitranspirante Aerossol Powder Dry Rexona Motionsense 150ml,0,0,0,124,0,0,0,0,0,0
Antitranspirante Aerossol Powder Soft Talco Dove 150ml,0,0,0,77,0,0,0,0,0,0
Antitranspirante Aerossol Rexona Men 150ml,0,0,0,166,0,0,0,0,0,0
Antitranspirante Aerossol Rexona Men Motionsense 150ml Torcedor Fanático,0,0,0,166,0,0,0,0,0,0
Antitranspirante Aerossol Sensitive Protect Nivea Men 150ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Aerossol Sensitive sem Perfume Dove 150ml,0,0,0,5,0,0,0,0,0,0
Antitranspirante Aerossol Sports Active+Fresh Dove Men+Care 150ml,0,0,0,23,0,0,0,0,0,0
Antitranspirante Aerossol Stay Fresh Bamboo & Aloe Vera Rexona Motionsense 150ml,0,0,0,124,0,0,0,0,0,0
Antitranspirante Aerossol Stay Fresh Flores Brancas & Lichia Rexona Motionsense 150ml,0,0,0,124,0,0,0,0,0,0
Antitranspirante Aerossol Stay Fresh Pomelo & Verbena Rexona Motionsense 150ml,0,0,0,124,0,0,0,0,0,0
Antitranspirante Aerossol Stress Protect Nivea 150ml,0,0,0,113,0,0,0,0,0,0
Antitranspirante Aerossol Talco Mineral e Sândalo Dove Men+Care Elements 150ml,0,0,0,23,0,0,0,0,0,0
Antitranspirante Aerossol V8 Rexona Men Motionsense 150ml,0,0,0,166,0,0,0,0,0,0
Antitranspirante Aerossol Xtracool Rexona Men Motionsense 150ml,0,0,0,166,0,0,0,0,0,0
Antitranspirante Aerossol sem Perfume Dove Men+Care 150ml,0,0,0,23,0,0,0,0,0,0
Antitranspirante Aerossol sem Perfume Rexona Motionsense 150ml,0,0,0,124,0,0,0,0,0,0
Antitranspirante Roll-On Dermo Clareador Nivea 50ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Active Dry Fresh 50ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Fresh Natural 50ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Invisible for Black & White Clear 50ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Men Active Dry Fresh 50ml,0,0,0,69,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Men Cool Kick 50ml,0,0,0,69,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Men Dry Impact Plus 50ml,0,0,0,69,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Men Fresh Active 50ml,0,0,0,69,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Men Invisible for Black & White 50ml,0,0,0,69,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Men Silver Protect 50ml,0,0,0,69,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Men Stress Protect 50ml,0,0,0,69,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Pearl & Beauty 50ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Powder 50ml,0,0,0,69,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Protect & Care 50ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Roll-On Nivea Stress Protect 50ml,0,0,0,157,0,0,0,0,0,0
Antitranspirante Spray Antibacterial Gillette 150ml,0,0,0,3,0,0,0,0,0,0
Antitranspirante Spray Axe You 152ml,0,0,0,3,0,0,0,0,0,0
Antitranspirante Spray Seco Axe Apollo 152ml,0,0,0,26,0,0,0,0,0,0
Antitranspirante Spray Seco Axe Black 152ml,0,0,0,26,0,0,0,0,0,0
Antitranspirante Spray Sport Triumph Gillette 150ml,0,0,0,3,0,0,0,0,0,0
Aparelho Descartável para Barbear Gillette Prestobarba 2 Unidades,0,0,0,51,0,0,0,0,0,0
Aparelho Descartável para Barbear Gillette Prestobarba Ultragrip 2 Unidades,0,0,0,346,0,0,0,0,0,0
Aparelho Descartável para Barbear Gillette Prestobarba Ultragrip3 2 Unidades,0,0,0,28,0,0,0,0,0,0
