,id,type,gender,sexo,pessoa,idade
40694,48605.0,F,M,2,0,25
40696,48607.0,F,M,2,0,40
40699,48610.0,F,M,2,0,26
40700,48611.0,F,F,1,0,15
40702,48613.0,F,F,1,0,42
40703,48614.0,F,F,1,0,38
40704,48615.0,F,F,1,0,35
40705,48616.0,F,F,1,0,28
40706,48617.0,F,F,1,0,34
40707,48618.0,F,F,1,0,35
40708,48619.0,F,F,1,0,29
40709,48620.0,F,F,1,0,25
40711,48622.0,F,M,2,0,37
40712,48623.0,F,M,2,0,15
40713,48624.0,F,F,1,0,41
40714,48625.0,F,F,1,0,26
40715,48626.0,F,M,2,0,15
40716,48627.0,F,M,2,0,35
40718,48629.0,F,F,1,0,33
40719,48630.0,F,F,1,0,32
40721,48632.0,F,F,1,0,26
40722,48633.0,F,F,1,0,39
40726,48637.0,F,M,2,0,41
40727,48638.0,F,M,2,0,44
40728,48639.0,F,M,2,0,46
40730,48641.0,F,M,2,0,35
40731,48642.0,F,M,2,0,33
40732,48643.0,F,F,1,0,44
40733,48644.0,F,M,2,0,45
40734,48645.0,F,M,2,0,29
40735,48646.0,F,F,1,0,15
40736,48647.0,F,F,1,0,37
40737,48648.0,F,F,1,0,15
40738,48649.0,F,M,2,0,25
40739,48650.0,F,F,1,0,50
40740,48651.0,F,M,2,0,33
40741,48652.0,F,M,2,0,29
40742,48653.0,F,M,2,0,15
40743,48654.0,F,M,2,0,35
40744,48655.0,F,M,2,0,39
40745,48656.0,J,E,0,1,15
40746,48657.0,F,F,1,0,25
40747,48658.0,F,F,1,0,27
40748,48659.0,F,F,1,0,15
40749,48660.0,F,M,2,0,28
40750,48661.0,F,F,1,0,15
40751,48662.0,F,F,1,0,26
40752,48663.0,F,F,1,0,48
40753,48664.0,F,M,2,0,15
40754,48665.0,F,F,1,0,27
40755,48666.0,F,F,1,0,42
40756,48667.0,F,M,2,0,15
40757,48668.0,F,F,1,0,15
40758,48669.0,F,M,2,0,37
40759,48670.0,F,F,1,0,49
40760,48671.0,F,M,2,0,15
40761,48672.0,F,M,2,0,46
40762,48673.0,F,M,2,0,15
40763,48674.0,F,M,2,0,28
40764,48675.0,F,M,2,0,42
