,id,type,gender,sexo,pessoa,idade
41430,49341.0,F,F,1,0,15
41432,49343.0,F,F,1,0,43
41434,49345.0,F,F,1,0,15
41435,49346.0,F,M,2,0,35
41436,49347.0,F,M,2,0,15
41437,49348.0,F,M,2,0,34
41439,49350.0,F,M,2,0,28
41440,49351.0,F,F,1,0,24
41441,49352.0,F,F,1,0,27
41443,49354.0,F,M,2,0,37
41444,49355.0,F,M,2,0,26
41445,49356.0,F,F,1,0,49
41446,49357.0,F,M,2,0,15
41447,49358.0,F,M,2,0,27
41448,49359.0,F,M,2,0,23
41449,49360.0,F,M,2,0,25
41450,49361.0,F,M,2,0,37
